texto,emocion,texto_limpio
vi televisión un rato,neutral,vi televisión rato
nada tiene sentido,negativo,
llovió un poco en la tarde,neutral,llovió tarde
me encanta cuando todo sale bien,positivo,encanta sale bien
siento mucha rabia por lo que pasó,negativo,siento mucha rabia pasó
la música me pone de buen humor,positivo,música pone buen humor
me siento agradecido,positivo,siento agradecido
logré lo que me propuse,positivo,logré propuse
estoy emocionado por la fiesta,positivo,emocionado fiesta
me siento con mucha energía,positivo,siento mucha energía
"me duele todo, física y emocionalmente",negativo,duele física emocionalmente
me siento amado y valorado,positivo,siento amado valorado
me encanta cuando todo sale bien,positivo,encanta sale bien
siento mucha rabia por lo que pasó,negativo,siento mucha rabia pasó
me siento amado y valorado,positivo,siento amado valorado
odio que todo salga mal,negativo,odio salga mal
me siento terrible,negativo,siento terrible
me siento terrible,negativo,siento terrible
nada tiene sentido,negativo,
estoy muy cansado y triste,negativo,cansado triste
siento mucha rabia por lo que pasó,negativo,siento mucha rabia pasó
no pasó nada especial,neutral,pasó especial
estoy muy cansado y triste,negativo,cansado triste
me siento con mucha energía,positivo,siento mucha energía
me siento solo y vacío,negativo,siento solo vacío
me siento terrible,negativo,siento terrible
me siento terrible,negativo,siento terrible
me puse a trabajar en la computadora,neutral,puse trabajar computadora
me siento agradecido,positivo,siento agradecido
vi televisión un rato,neutral,vi televisión rato
hoy estoy muy feliz,positivo,hoy feliz
odio que todo salga mal,negativo,odio salga mal
todo me sale mal,negativo,sale mal
logré lo que me propuse,positivo,logré propuse
nada tiene sentido,negativo,
me siento solo y vacío,negativo,siento solo vacío
me siento terrible,negativo,siento terrible
qué bonito día para salir,positivo,bonito día salir
qué bonito día para salir,positivo,bonito día salir
odio que todo salga mal,negativo,odio salga mal
logré lo que me propuse,positivo,logré propuse
me puse a trabajar en la computadora,neutral,puse trabajar computadora
estoy muy cansado y triste,negativo,cansado triste
hice las tareas normales del día,neutral,hice tareas normales día
hice las tareas normales del día,neutral,hice tareas normales día
vi televisión un rato,neutral,vi televisión rato
