texto,emocion
vi televisión un rato,neutral
nada tiene sentido,negativo
llovió un poco en la tarde,neutral
me encanta cuando todo sale bien,positivo
siento mucha rabia por lo que pasó,negativo
la música me pone de buen humor,positivo
me siento agradecido,positivo
logré lo que me propuse,positivo
estoy emocionado por la fiesta,positivo
me siento con mucha energía,positivo
"me duele todo, física y emocionalmente",negativo
me siento amado y valorado,positivo
me encanta cuando todo sale bien,positivo
siento mucha rabia por lo que pasó,negativo
me siento amado y valorado,positivo
odio que todo salga mal,negativo
me siento terrible,negativo
me siento terrible,negativo
nada tiene sentido,negativo
estoy muy cansado y triste,negativo
siento mucha rabia por lo que pasó,negativo
no pasó nada especial,neutral
estoy muy cansado y triste,negativo
me siento con mucha energía,positivo
me siento solo y vacío,negativo
me siento terrible,negativo
me siento terrible,negativo
me puse a trabajar en la computadora,neutral
me siento agradecido,positivo
vi televisión un rato,neutral
hoy estoy muy feliz,positivo
odio que todo salga mal,negativo
todo me sale mal,negativo
logré lo que me propuse,positivo
nada tiene sentido,negativo
me siento solo y vacío,negativo
me siento terrible,negativo
qué bonito día para salir,positivo
qué bonito día para salir,positivo
odio que todo salga mal,negativo
logré lo que me propuse,positivo
me puse a trabajar en la computadora,neutral
estoy muy cansado y triste,negativo
hice las tareas normales del día,neutral
hice las tareas normales del día,neutral
vi televisión un rato,neutral
no pasó nada especial,neutral
siento mucha rabia por lo que pasó,negativo
"me duele todo, física y emocionalmente",negativo
me puse a trabajar en la computadora,neutral
estoy muy cansado y triste,negativo
llovió un poco en la tarde,neutral
nada tiene sentido,negativo
siento mucha rabia por lo que pasó,negativo
qué día tan horrible,negativo
fui al supermercado,neutral
qué bonito día para salir,positivo
todo me sale mal,negativo
siento mucha rabia por lo que pasó,negativo
me puse a trabajar en la computadora,neutral
me puse a trabajar en la computadora,neutral
odio que todo salga mal,negativo
hoy estoy muy feliz,positivo
almorcé lo de siempre,neutral
llovió un poco en la tarde,neutral
almorcé lo de siempre,neutral
me puse a trabajar en la computadora,neutral
hoy fue un día cualquiera,neutral
me siento agradecido,positivo
hoy fue un día cualquiera,neutral
fui al supermercado,neutral
qué bonito día para salir,positivo
almorcé lo de siempre,neutral
me encontré con un vecino,neutral
vi televisión un rato,neutral
almorcé lo de siempre,neutral
me encanta cuando todo sale bien,positivo
siento mucha rabia por lo que pasó,negativo
me encontré con un vecino,neutral
no pasó nada especial,neutral
salí a caminar un rato,neutral
fui al supermercado,neutral
qué día tan horrible,negativo
me encontré con un vecino,neutral
no pasó nada especial,neutral
estoy muy cansado y triste,negativo
siento mucha rabia por lo que pasó,negativo
hoy estoy muy feliz,positivo
fui al supermercado,neutral
logré lo que me propuse,positivo
fui al supermercado,neutral
vi televisión un rato,neutral
me puse a trabajar en la computadora,neutral
"me duele todo, física y emocionalmente",negativo
"me duele todo, física y emocionalmente",negativo
me siento amado y valorado,positivo
la música me pone de buen humor,positivo
me siento terrible,negativo
estoy frustrado,negativo
me siento solo y vacío,negativo
"me duele todo, física y emocionalmente",negativo
logré lo que me propuse,positivo
almorcé lo de siempre,neutral
me siento amado y valorado,positivo
no pasó nada especial,neutral
hoy estoy muy feliz,positivo
qué bonito día para salir,positivo
llovió un poco en la tarde,neutral
fui al supermercado,neutral
vi televisión un rato,neutral
me encontré con un vecino,neutral
me puse a trabajar en la computadora,neutral
estoy emocionado por la fiesta,positivo
me encanta cuando todo sale bien,positivo
siento mucha rabia por lo que pasó,negativo
fui al supermercado,neutral
estoy muy cansado y triste,negativo
la música me pone de buen humor,positivo
salí a caminar un rato,neutral
fui al supermercado,neutral
me siento amado y valorado,positivo
me siento amado y valorado,positivo
me siento con mucha energía,positivo
me puse a trabajar en la computadora,neutral
me siento agradecido,positivo
me siento amado y valorado,positivo
llovió un poco en la tarde,neutral
llovió un poco en la tarde,neutral
me siento agradecido,positivo
fui al supermercado,neutral
hice las tareas normales del día,neutral
la comida estuvo deliciosa,positivo
todo me sale mal,negativo
"me duele todo, física y emocionalmente",negativo
me encontré con un vecino,neutral
vi televisión un rato,neutral
logré lo que me propuse,positivo
me siento solo y vacío,negativo
me siento amado y valorado,positivo
nada tiene sentido,negativo
me encanta cuando todo sale bien,positivo
la música me pone de buen humor,positivo
me siento solo y vacío,negativo
me siento solo y vacío,negativo
"me duele todo, física y emocionalmente",negativo
salí a caminar un rato,neutral
hice las tareas normales del día,neutral
nada tiene sentido,negativo
nada tiene sentido,negativo
qué día tan horrible,negativo
estoy muy cansado y triste,negativo
me siento terrible,negativo
siento mucha rabia por lo que pasó,negativo
la comida estuvo deliciosa,positivo
hoy fue un día cualquiera,neutral
me encontré con un vecino,neutral
hice las tareas normales del día,neutral
la comida estuvo deliciosa,positivo
logré lo que me propuse,positivo
qué bonito día para salir,positivo
me encontré con un vecino,neutral
me siento amado y valorado,positivo
me encanta cuando todo sale bien,positivo
hice las tareas normales del día,neutral
estoy emocionado por la fiesta,positivo
hoy fue un día cualquiera,neutral
me siento solo y vacío,negativo
nada tiene sentido,negativo
almorcé lo de siempre,neutral
"me duele todo, física y emocionalmente",negativo
me siento terrible,negativo
me encontré con un vecino,neutral
hice las tareas normales del día,neutral
me encanta cuando todo sale bien,positivo
odio que todo salga mal,negativo
almorcé lo de siempre,neutral
me encanta cuando todo sale bien,positivo
qué día tan horrible,negativo
estoy frustrado,negativo
almorcé lo de siempre,neutral
siento mucha rabia por lo que pasó,negativo
estoy emocionado por la fiesta,positivo
me siento solo y vacío,negativo
estoy muy cansado y triste,negativo
me encontré con un vecino,neutral
vi televisión un rato,neutral
me siento con mucha energía,positivo
la comida estuvo deliciosa,positivo
todo me sale mal,negativo
qué día tan horrible,negativo
estoy muy cansado y triste,negativo
hoy estoy muy feliz,positivo
me siento amado y valorado,positivo
siento mucha rabia por lo que pasó,negativo
odio que todo salga mal,negativo
me siento agradecido,positivo
me siento terrible,negativo
fui al supermercado,neutral
llovió un poco en la tarde,neutral
qué bonito día para salir,positivo
hoy estoy muy feliz,positivo
no pasó nada especial,neutral
me encanta cuando todo sale bien,positivo
me siento con mucha energía,positivo
me puse a trabajar en la computadora,neutral
fui al supermercado,neutral
me puse a trabajar en la computadora,neutral
me siento con mucha energía,positivo
todo me sale mal,negativo
vi televisión un rato,neutral
hoy estoy muy feliz,positivo
fui al supermercado,neutral
qué bonito día para salir,positivo
me puse a trabajar en la computadora,neutral
me siento con mucha energía,positivo
estoy frustrado,negativo
vi televisión un rato,neutral
me puse a trabajar en la computadora,neutral
qué bonito día para salir,positivo
estoy frustrado,negativo
qué día tan horrible,negativo
la música me pone de buen humor,positivo
la música me pone de buen humor,positivo
hice las tareas normales del día,neutral
me siento con mucha energía,positivo
estoy emocionado por la fiesta,positivo
vi televisión un rato,neutral
nada tiene sentido,negativo
todo me sale mal,negativo
me siento amado y valorado,positivo
me puse a trabajar en la computadora,neutral
me puse a trabajar en la computadora,neutral
me siento amado y valorado,positivo
estoy muy cansado y triste,negativo
siento mucha rabia por lo que pasó,negativo
almorcé lo de siempre,neutral
qué bonito día para salir,positivo
almorcé lo de siempre,neutral
me siento con mucha energía,positivo
me siento agradecido,positivo
vi televisión un rato,neutral
estoy frustrado,negativo
hice las tareas normales del día,neutral
odio que todo salga mal,negativo
nada tiene sentido,negativo
me siento agradecido,positivo
almorcé lo de siempre,neutral
fui al supermercado,neutral
estoy frustrado,negativo
vi televisión un rato,neutral
salí a caminar un rato,neutral
hice las tareas normales del día,neutral
"me duele todo, física y emocionalmente",negativo
me siento agradecido,positivo
me puse a trabajar en la computadora,neutral
logré lo que me propuse,positivo
la música me pone de buen humor,positivo
vi televisión un rato,neutral
no pasó nada especial,neutral
hice las tareas normales del día,neutral
hice las tareas normales del día,neutral
me encontré con un vecino,neutral
me siento con mucha energía,positivo
qué bonito día para salir,positivo
estoy emocionado por la fiesta,positivo
fui al supermercado,neutral
me siento terrible,negativo
me siento con mucha energía,positivo
estoy frustrado,negativo
almorcé lo de siempre,neutral
salí a caminar un rato,neutral
me encanta cuando todo sale bien,positivo
me siento agradecido,positivo
me siento agradecido,positivo
vi televisión un rato,neutral
"me duele todo, física y emocionalmente",negativo
almorcé lo de siempre,neutral
qué bonito día para salir,positivo
salí a caminar un rato,neutral
me siento solo y vacío,negativo
me encontré con un vecino,neutral
me puse a trabajar en la computadora,neutral
nada tiene sentido,negativo
estoy frustrado,negativo
estoy emocionado por la fiesta,positivo
siento mucha rabia por lo que pasó,negativo
"me duele todo, física y emocionalmente",negativo
siento mucha rabia por lo que pasó,negativo
odio que todo salga mal,negativo
vi televisión un rato,neutral
hoy fue un día cualquiera,neutral
me siento con mucha energía,positivo
la comida estuvo deliciosa,positivo
no pasó nada especial,neutral
nada tiene sentido,negativo
me siento terrible,negativo
hoy estoy muy feliz,positivo
logré lo que me propuse,positivo
hice las tareas normales del día,neutral
me encanta cuando todo sale bien,positivo
me encontré con un vecino,neutral
nada tiene sentido,negativo
me siento amado y valorado,positivo
me siento terrible,negativo
me siento con mucha energía,positivo
me siento con mucha energía,positivo
estoy emocionado por la fiesta,positivo
estoy muy cansado y triste,negativo
me siento con mucha energía,positivo
llovió un poco en la tarde,neutral
"me duele todo, física y emocionalmente",negativo
hice las tareas normales del día,neutral
vi televisión un rato,neutral
logré lo que me propuse,positivo
me siento terrible,negativo
"me duele todo, física y emocionalmente",negativo
"me duele todo, física y emocionalmente",negativo
estoy emocionado por la fiesta,positivo
qué bonito día para salir,positivo
me siento solo y vacío,negativo
estoy frustrado,negativo
hoy estoy muy feliz,positivo
estoy emocionado por la fiesta,positivo
llovió un poco en la tarde,neutral
"me duele todo, física y emocionalmente",negativo
almorcé lo de siempre,neutral
hoy fue un día cualquiera,neutral
logré lo que me propuse,positivo
qué día tan horrible,negativo
estoy muy cansado y triste,negativo
me siento con mucha energía,positivo
todo me sale mal,negativo
me encanta cuando todo sale bien,positivo
no pasó nada especial,neutral
la música me pone de buen humor,positivo
almorcé lo de siempre,neutral
me siento amado y valorado,positivo
estoy emocionado por la fiesta,positivo
me puse a trabajar en la computadora,neutral
me encontré con un vecino,neutral
odio que todo salga mal,negativo
logré lo que me propuse,positivo
me siento con mucha energía,positivo
la música me pone de buen humor,positivo
me siento amado y valorado,positivo
hoy fue un día cualquiera,neutral
llovió un poco en la tarde,neutral
me siento agradecido,positivo
qué bonito día para salir,positivo
me encontré con un vecino,neutral
estoy emocionado por la fiesta,positivo
no pasó nada especial,neutral
me siento amado y valorado,positivo
la comida estuvo deliciosa,positivo
estoy muy cansado y triste,negativo
"me duele todo, física y emocionalmente",negativo
me puse a trabajar en la computadora,neutral
me siento amado y valorado,positivo
siento mucha rabia por lo que pasó,negativo
me encanta cuando todo sale bien,positivo
vi televisión un rato,neutral
llovió un poco en la tarde,neutral
qué día tan horrible,negativo
me encontré con un vecino,neutral
no pasó nada especial,neutral
salí a caminar un rato,neutral
hice las tareas normales del día,neutral
vi televisión un rato,neutral
siento mucha rabia por lo que pasó,negativo
estoy emocionado por la fiesta,positivo
todo me sale mal,negativo
hoy estoy muy feliz,positivo
almorcé lo de siempre,neutral
me siento con mucha energía,positivo
nada tiene sentido,negativo
la comida estuvo deliciosa,positivo
me siento solo y vacío,negativo
vi televisión un rato,neutral
no pasó nada especial,neutral
me siento con mucha energía,positivo
llovió un poco en la tarde,neutral
me encanta cuando todo sale bien,positivo
qué día tan horrible,negativo
me encanta cuando todo sale bien,positivo
nada tiene sentido,negativo
estoy muy cansado y triste,negativo
qué bonito día para salir,positivo
no pasó nada especial,neutral
salí a caminar un rato,neutral
hice las tareas normales del día,neutral
qué bonito día para salir,positivo
me siento agradecido,positivo
estoy muy cansado y triste,negativo
la música me pone de buen humor,positivo
me siento terrible,negativo
qué día tan horrible,negativo
qué día tan horrible,negativo
estoy muy cansado y triste,negativo
la comida estuvo deliciosa,positivo
la música me pone de buen humor,positivo
me siento solo y vacío,negativo
estoy emocionado por la fiesta,positivo
qué día tan horrible,negativo
salí a caminar un rato,neutral
vi televisión un rato,neutral
fui al supermercado,neutral
siento mucha rabia por lo que pasó,negativo
llovió un poco en la tarde,neutral
"me duele todo, física y emocionalmente",negativo
vi televisión un rato,neutral
estoy emocionado por la fiesta,positivo
nada tiene sentido,negativo
salí a caminar un rato,neutral
estoy muy cansado y triste,negativo
estoy emocionado por la fiesta,positivo
me encontré con un vecino,neutral
no pasó nada especial,neutral
fui al supermercado,neutral
me puse a trabajar en la computadora,neutral
almorcé lo de siempre,neutral
todo me sale mal,negativo
me encontré con un vecino,neutral
fui al supermercado,neutral
logré lo que me propuse,positivo
la comida estuvo deliciosa,positivo
me siento agradecido,positivo
odio que todo salga mal,negativo
me puse a trabajar en la computadora,neutral
llovió un poco en la tarde,neutral
estoy frustrado,negativo
qué bonito día para salir,positivo
me siento amado y valorado,positivo
no pasó nada especial,neutral
la comida estuvo deliciosa,positivo
vi televisión un rato,neutral
llovió un poco en la tarde,neutral
nada tiene sentido,negativo
todo me sale mal,negativo
me encanta cuando todo sale bien,positivo
odio que todo salga mal,negativo
odio que todo salga mal,negativo
la comida estuvo deliciosa,positivo
odio que todo salga mal,negativo
almorcé lo de siempre,neutral
fui al supermercado,neutral
estoy emocionado por la fiesta,positivo
me siento solo y vacío,negativo
no pasó nada especial,neutral
qué bonito día para salir,positivo
almorcé lo de siempre,neutral
me encontré con un vecino,neutral
me encanta cuando todo sale bien,positivo
estoy frustrado,negativo
la comida estuvo deliciosa,positivo
estoy muy cansado y triste,negativo
me puse a trabajar en la computadora,neutral
siento mucha rabia por lo que pasó,negativo
hoy estoy muy feliz,positivo
estoy frustrado,negativo
me siento agradecido,positivo
me siento solo y vacío,negativo
me siento amado y valorado,positivo
la música me pone de buen humor,positivo
la música me pone de buen humor,positivo
me siento agradecido,positivo
"me duele todo, física y emocionalmente",negativo
me siento agradecido,positivo
la música me pone de buen humor,positivo
fui al supermercado,neutral
me encanta cuando todo sale bien,positivo
nada tiene sentido,negativo
logré lo que me propuse,positivo
hoy estoy muy feliz,positivo
me siento terrible,negativo
la comida estuvo deliciosa,positivo
estoy emocionado por la fiesta,positivo
todo me sale mal,negativo
"me duele todo, física y emocionalmente",negativo
la comida estuvo deliciosa,positivo
hice las tareas normales del día,neutral
hoy fue un día cualquiera,neutral
todo me sale mal,negativo
no pasó nada especial,neutral
fui al supermercado,neutral
me siento terrible,negativo
hice las tareas normales del día,neutral
"me duele todo, física y emocionalmente",negativo
fui al supermercado,neutral
me encanta cuando todo sale bien,positivo
todo me sale mal,negativo
siento mucha rabia por lo que pasó,negativo
qué bonito día para salir,positivo
nada tiene sentido,negativo
me siento solo y vacío,negativo
estoy emocionado por la fiesta,positivo
qué día tan horrible,negativo
me siento con mucha energía,positivo
me encanta cuando todo sale bien,positivo
salí a caminar un rato,neutral
hice las tareas normales del día,neutral
almorcé lo de siempre,neutral
salí a caminar un rato,neutral
la comida estuvo deliciosa,positivo
qué día tan horrible,negativo
almorcé lo de siempre,neutral
vi televisión un rato,neutral
estoy muy cansado y triste,negativo
qué bonito día para salir,positivo
qué día tan horrible,negativo
fui al supermercado,neutral
no pasó nada especial,neutral
salí a caminar un rato,neutral
me encontré con un vecino,neutral
odio que todo salga mal,negativo
estoy frustrado,negativo
me siento solo y vacío,negativo
vi televisión un rato,neutral
siento mucha rabia por lo que pasó,negativo
me siento solo y vacío,negativo
me siento amado y valorado,positivo
estoy emocionado por la fiesta,positivo
vi televisión un rato,neutral
la comida estuvo deliciosa,positivo
me siento agradecido,positivo
la música me pone de buen humor,positivo
la música me pone de buen humor,positivo
salí a caminar un rato,neutral
me siento solo y vacío,negativo
me siento agradecido,positivo
"me duele todo, física y emocionalmente",negativo
hoy fue un día cualquiera,neutral
me siento con mucha energía,positivo
salí a caminar un rato,neutral
me encanta cuando todo sale bien,positivo
me puse a trabajar en la computadora,neutral
salí a caminar un rato,neutral
almorcé lo de siempre,neutral
no pasó nada especial,neutral
no pasó nada especial,neutral
hoy fue un día cualquiera,neutral
me encanta cuando todo sale bien,positivo
odio que todo salga mal,negativo
siento mucha rabia por lo que pasó,negativo
no pasó nada especial,neutral
hoy fue un día cualquiera,neutral
estoy emocionado por la fiesta,positivo
me siento solo y vacío,negativo
llovió un poco en la tarde,neutral
estoy emocionado por la fiesta,positivo
me siento agradecido,positivo
todo me sale mal,negativo
fui al supermercado,neutral
llovió un poco en la tarde,neutral
todo me sale mal,negativo
me encontré con un vecino,neutral
fui al supermercado,neutral
la música me pone de buen humor,positivo
estoy muy cansado y triste,negativo
fui al supermercado,neutral
qué bonito día para salir,positivo
estoy frustrado,negativo
me siento terrible,negativo
me puse a trabajar en la computadora,neutral
hice las tareas normales del día,neutral
fui al supermercado,neutral
me siento terrible,negativo
qué día tan horrible,negativo
no pasó nada especial,neutral
todo me sale mal,negativo
todo me sale mal,negativo
me siento solo y vacío,negativo
siento mucha rabia por lo que pasó,negativo
llovió un poco en la tarde,neutral
estoy frustrado,negativo
hoy fue un día cualquiera,neutral
hice las tareas normales del día,neutral
fui al supermercado,neutral
nada tiene sentido,negativo
no pasó nada especial,neutral
no pasó nada especial,neutral
fui al supermercado,neutral
